                                      Analysis of Social Media Presence of Ethiopian Politically Exposed Persons (PEPs)  ,,,,,,,,
Name (English),Position,Source,X (Twitter) Link,Verified X (Twitter) Account (Yes/No),Facebook Link,Verified Facebook Account (Yes/No),Confidence,Notes
 Abiy Ahmed Ali,Prime Minister of the Federal Democratic Republic of Ethiopia,Official X account linked from government page,https://x.com/AbiyAhmedAli?s=20,Yes,https://web.facebook.com/PMAbiyAhmedAli,Yes,High,"Account has verified badge, posts official government updates, widely referenced in news."
Adanech Abiebie,Mayor of Addis Ababa,Addis Ababa City Government / Mayor’s Office / Official website (addismayor.gov.et),https://x.com/AdanechAbiebie?s=20,Yes,https://web.facebook.com/OfficialAdanechAbiebie,Yes,High,"Username matches official title, content includes government updates, high follower count, and aligns with official communication channels."
Berhanu Nega ,Minister of Education of Ethiopia,FDRE Ministry of Education,https://x.com/BerhanuNegaB?s=20,Yes,None found (no official page identified),No,Medium,Account exists but lacks verification badge. No confirmed official Facebook presence found. Identity requires additional confirmation from government or ministry sources.
Taye Atske Selassie,President of Ethiopia,"Government communication channels (Ministry of Foreign Affairs, Ethiopian Television)",https://x.com/TayeAtske?s=20,Yes,No verified personal account found,No,Medium,"No verified personal Facebook account was identified for Taye Atske Selassie. Public updates, photos, and official communications about his activities are shared through government channels, including the Ministry of Foreign Affairs of Ethiopia and Ethiopian Television (ETV)."
Temesgen Tiruneh,Deputy Prime Minister of Ethiopia,Office of the Prime Minister official website (cross-referenced social media accounts),https://x.com/TemesgenTiru?s=20,Yes,https://web.facebook.com/Temesegen.TirunehOfficial,Yes,High,Social media accounts were cross-checked with official government website references and show consistent activity related to the individual’s role.
Gedion Timothewos Hessebon,Minister of Foreign Affairs of Ethiopia,"Official government communication channels (Ministry of Foreign Affairs, embassy pages)",https://x.com/GHessebon?s=20,Yes,No verified personal account found,No,Medium,X account matches the individual’s identity and posts consistent official content. No personal Facebook account identified activities are communicated through official Ministry of Foreign Affairs and embassy Facebook pages.
Abraham Belay,Minister of Irrigation and Lowlands of Ethiopia,Official government records / credible public sources,https://x.com/AbrahamPostDoc?s=20,Uncertain,https://web.facebook.com/AbrahamBelayOfficial,Yes,High,"Current position confirmed through official government sources individual has held multiple senior federal roles including Minister of Defense and Minister of Innovation and Technology. An X account was identified, but the username and profile details do not clearly align with the individual’s official role, and no confirmation from authoritative sources was found."
Hanna Arayaselassie,Minister of Justice,FDRE Ministry of Justice official website and social media channels,No verified personal account found,Yes,No verified personal account found,Yes,High,"No verified personal X (Twitter) or Facebook accounts were identified for Hanna Arayaselassie Zemichael. Public communications, activities, and official updates are disseminated through institutional channels, primarily the FDRE Ministry of Justice’s official social media accounts. A professional LinkedIn profile exists under her full name."
Mekdes Daba,Minister of Health of Ethiopia,Ministry of Health official communication channels and institutional platforms,https://x.com/MekdesDaba?s=20,Yes,No verified personal account found,Yes,High,"An X (Twitter) account was identified for Mekdes Daba under the handle @MekdesDaba, which reflects consistent professional activity aligned with her role as Minister of Health. No verified personal Facebook account was identified her activities are primarily shared through official Ministry of Health and related institutional Facebook pages."
Kadir Juhar Ibrahim,Mayor of Dire Dawa Administration,"Official Facebook page and news media references (e.g., Addis Standard)",No verified personal account found,No,https://www.facebook.com/kadirjuharibrahim/,Yes,Medium,No personal X account identified; mentions of the individual appear mainly through news and media sources rather than an official profile.
Shimelis Abdisa,President of Oromia Regional State,Official Facebook page and public government communications,No verified personal account found,No,https://www.facebook.com/shimelisAbdisaOfficial,Yes,Medium,No clearly identifiable or officially confirmed personal X account; presence on the platform appears fragmented and not linked to an authoritative source.
Arega Kebede,President of Amhara Regional State,Official Facebook page and regional government/media communication channels,No verified personal account found,No,https://www.facebook.com/61554415769513/about/,Yes,Medium,No confirmed personal X account; official updates appear through regional media outlets and government-affiliated communication channels.
Mustafe Muhumed Omar,President of Somali Regional State,Official X(Twitter) account and regional government/media communication channels,https://x.com/Mustafe_M_Omer?s=20,Yes,No verified personal account exists,No,High,"The verified X account is the primary official personal social media presence of Mustafa Mohammed Omer and is used for public communication, policy updates, and regional announcements. Facebook does not have a clearly designated verified personal account information related to the president is instead shared through official Somali Regional State communication channels and national media outlets."
Desalegn Chane,"Member of Parliament, National Movement of Amhara (NaMA)",Publicly referenced social media accounts and political media coverage,https://x.com/cdessalegn?s=20,Yes,https://www.facebook.com/,Yes,High,Both accounts are associated with Dr. Desalegn Chane and are used for political communication and public engagement.
Tadesse Worede,President of Tigray Interim Administration,Tigray Communication Affairs Bureau and Ethiopian Broadcasting Corporation (EBC),No verified personal account found,Yes,No verified personal account found,Yes,High,"Lt. Gen. Tadesse Worede has no clearly identifiable or verified personal social media accounts. Official communications related to his role are primarily disseminated through government and media channels, including the Office of the Prime Minister of Ethiopia, regional communication bureaus, and media outlets such as Addis Standard, Tigray Television, and Ethiopian Broadcasting Corporation (EBC). His public presence is therefore institutional rather than personal."
Desta Lendamo,President of Sidama Regional State,Sidama Region Communication Bureau (Facebook),No verified personal account found,Yes,https://www.facebook.com/Destaledamoo/,Uncertain,Medium,"Profile appears to match Desta Lendamo based on name and general presentation. However, identity cannot be fully confirmed due to lack of verification badge and limited publicly accessible information. Facebook privacy settings restrict full visibility, making attribution uncertain."
Awel Arba,President of Afar National Regional State,Cross-reference from Facebook - X account linkage and Afar Regional State Communication Affairs Bureau,https://x.com/awolarba?s=20,No,https://www.facebook.com/awel.arba/,Yes,High,"X account is not verified but is directly referenced from the verified Facebook page, which increases reliability. It is considered highly likely to be authentic due to cross-platform linkage and consistent identity alignment with official communications."
Tilahun Kebede,President of South Ethiopia Regional State,South Ethiopia Regional State communication channels and Facebook page content (@TilahunKebedeGovernmentOfficial),https://x.com/TilabetoKebede?s=20,Uncertain,https://www.facebook.com/TilahunKebedeGovernmentOfficial,Yes,Medium,"Facebook page appears more consistent with official communication, sharing government updates and regional announcements aligned with the South Ethiopia Regional State administration. The X account cannot be confidently confirmed as official due to lack of verification badge, low follower count, unusually high following ratio, and long inactivity (around one year without posts). Overall, Facebook is treated as the more reliable channel, while the X account remains unconfirmed and requires further validation from official government sources."
Endashaw Tassew Gebregiorgis,President of the Central Ethiopia Regional State,Verified Facebook page (Endashawone) and Regional government communication channels,No verified personal account found,No,https://web.facebook.com/Endashawone,Yes,High,"The Facebook page is verified and appears to be the official communication channel for Endashaw Tassew, used for public updates and government-related announcements. No corresponding X (Twitter) account has been identified or confirmed."
Negash Wagesho,President of South West Ethiopia Peoples' Regional State,Official Facebook page (negash.wagesho) and ,No verified personal account found,No,https://www.facebook.com/negash.wagesho/,Yes,High,"The Facebook page appears to be the primary official communication channel for Negash Wagesho, used for sharing government updates, development initiatives, and regional administrative announcements for the South West Ethiopia Peoples’ Region. No verified personal X account is identifiable official communication is instead conducted through government media and institutional channels."